Profissional   |     Data                     |     Prioridade     |     Tabela                                            |     Controller                                        |     IP                                                 |     Host                                               |     Mensagem  
2              |     2012-01-16 11:09:47      |     9              |     s_solicitacao                                     |     gerenciar-projetos-solicitacao                    |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_objeto = 14 and ni_solicitacao = 3 and ni_ano_solicitacao = 2012
2              |     2012-01-16 11:10:21      |     8              |     s_projeto                                         |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 273
2              |     2012-01-16 11:10:21      |     8              |     a_contrato_projeto                                |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_contrato = 14 cd_projeto = 273 
2              |     2012-01-16 11:10:21      |     8              |     s_proposta                                        |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_proposta = 1 cd_projeto = 273 
2              |     2012-01-16 11:10:21      |     8              |     s_parcela                                         |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_parcela = 1666 cd_projeto = 273 cd_proposta = 1 
2              |     2012-01-16 11:10:21      |     8              |     s_processamento_parcela                           |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_processamento_parcela = 1270 cd_proposta = 1 cd_projeto = 273 cd_parcela = 1666 
2              |     2012-01-16 11:10:21      |     8              |     s_produto_parcela                                 |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_produto_parcela = 13369 cd_proposta = 1 cd_projeto = 273 cd_parcela = 1666 
               |     2012-01-16 11:28:30      |     8              |     s_solicitacao_pedido                              |     pedido-solicitacao                                |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_solicitacao_pedido = 7
               |     2012-01-16 11:28:30      |     8              |     s_historico_pedido                                |     pedido-solicitacao                                |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_historico_pedido = 33
               |     2012-01-16 11:28:30      |     8              |     a_solicitacao_resposta_pedido                     |     pedido-solicitacao                                |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_solicitacao_pedido = 7 cd_pergunta_pedido = 1 cd_resposta_pedido = 9 
               |     2012-01-16 11:28:31      |     8              |     a_solicitacao_resposta_pedido                     |     pedido-solicitacao                                |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_solicitacao_pedido = 7 cd_pergunta_pedido = 15 cd_resposta_pedido = 19 
               |     2012-01-16 11:28:50      |     8              |     s_historico_pedido                                |     pedido-solicitacao                                |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_historico_pedido = 34
               |     2012-01-16 11:28:50      |     9              |     s_solicitacao_pedido                              |     pedido-solicitacao                                |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "s_solicitacao_pedido"."cd_solicitacao_pedido" = 7
2              |     2012-01-16 11:36:40      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-16 13:30:52      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-16 14:15:31      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-16 14:24:26      |     8              |     s_solicitacao                                     |     solicitacao                                       |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: ni_solicitacao = 4 ni_ano_solicitacao = 2012 cd_objeto = 14 
2              |     2012-01-18 08:36:20      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-18 09:43:36      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-18 10:05:31      |     9              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "b_menu"."cd_menu" = 126.000000
2              |     2012-01-18 10:06:27      |     8              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_menu = 324
2              |     2012-01-18 10:07:00      |     9              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "b_menu"."cd_menu" = 324.000000
2              |     2012-01-18 10:09:13      |     8              |     a_profissional_menu                               |     objeto-perfil-profissional                        |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_objeto = 14 cd_profissional = 2 cd_menu = 324 
2              |     2012-01-18 10:09:32      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-18 10:24:13      |     9              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "b_menu"."cd_menu" = 324.000000
2              |     2012-01-18 10:24:49      |     9              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "b_menu"."cd_menu" = 126.000000
2              |     2012-01-18 10:25:48      |     9              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "b_menu"."cd_menu" = 324.000000
2              |     2012-01-18 10:26:17      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-18 14:26:06      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-18 15:28:33      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-18 15:48:42      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-18 16:02:56      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-19 08:19:52      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-19 09:03:25      |     8              |     a_profissional_conhecimento                       |     conhecimento-profissional                         |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 2 cd_tipo_conhecimento = 3 cd_conhecimento = 45 
2              |     2012-01-19 09:03:27      |     8              |     a_profissional_conhecimento                       |     conhecimento-profissional                         |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 2 cd_tipo_conhecimento = 3 cd_conhecimento = 12 
